date,avg (temperature),max (temperature),min (temperature),avg (humidity),max (humidity),min (humidity),power,label,avg(wind speed),avg(local pressure),avg(cloud cover),avg(ground temperature),avg(evaporation volume),sun_rise,sun_max,sun_set,day_duration,night_duration,day_avg_temperature_app,night_avg_temperature_app,Nitrogen Dioxide Concentration (ppm),Ozone Concentration (ppm),Carbon Monoxide Concentration (ppm),Sulfur Dioxide Concentration (ppm),Particulate Matter (㎍/㎥),Fine Particulate Matter (㎍/㎥),AQI
2021-01-01,-4.45,1.4,-9.7,64.87,75,52,242.75,0,2.7,1019.8,1.3,6.3,1.6,7:47,12:35:14,17:24,0 days 09:37:00,0 days 14:23:00,-1.525,-7.074999999999999,0.023,0.013,0.5,0.003,32.0,13.0,93.0
2021-01-02,-4.79,-1.5,-8.3,38.43,50,31,229.78,0,2.5,1021.0,0.0,6.2,1.3,7:47,12:35:42,17:25,0 days 09:38:00,0 days 14:22:00,-3.145,-6.545,0.015,0.019,0.4,0.003,44.0,9.0,122.0
2021-01-03,-5.59,-2.3,-9.0,44.39,58,30,252.5,0,1.8,1019.5,0.0,6.1,1.3,7:47,12:36:10,17:25,0 days 09:38:00,0 days 14:22:00,-3.945,-7.295,0.017,0.017,0.4,0.003,46.0,11.0,127.0
2021-01-04,-3.67,0.2,-8.3,48.91,69,40,298.45,0,1.9,1019.5,1.9,6.0,1.5,7:47,12:36:38,17:26,0 days 09:39:00,0 days 14:21:00,-1.735,-5.985,0.033,0.008,0.5,0.003,47.0,19.0,129.0
2021-01-05,-4.96,-2.5,-9.5,53.43,82,31,333.4,0,1.6,1019.6,3.6,5.9,0.9,7:47,12:37:05,17:27,0 days 09:40:00,0 days 14:20:00,-3.73,-7.23,0.018,0.018,0.4,0.003,33.0,12.0,95.0
2021-01-06,-7.25,-2.2,-11.9,53.87,89,25,356.55,0,2.2,1011.1,5.8,5.7,1.0,7:47,12:37:32,17:28,0 days 09:41:00,0 days 14:19:00,-4.725,-9.575,0.024,0.014,0.4,0.003,33.0,11.0,95.0
2021-01-07,-14.06,-9.6,-16.4,50.3,75,37,209.05,0,2.2,1008.7,5.6,5.6,0.6,7:47,12:37:58,17:29,0 days 09:42:00,0 days 14:18:00,-11.83,-15.23,0.011,0.019,0.3,0.003,46.0,9.0,127.0
2021-01-08,-14.9,-11.2,-18.5,44.3,55,35,185.54,0,1.7,1013.9,3.0,5.5,1.2,7:47,12:38:24,17:30,0 days 09:43:00,0 days 14:17:00,-13.05,-16.7,0.013,0.019,0.4,0.004,30.0,8.0,89.0
2021-01-09,-12.25,-7.7,-16.4,44.91,56,37,262.96,0,2.3,1013.8,3.3,5.5,1.5,7:47,12:38:49,17:31,0 days 09:44:00,0 days 14:16:00,-9.975,-14.325,0.017,0.016,0.4,0.004,34.0,13.0,97.0
2021-01-10,-7.89,-2.8,-12.7,53.57,69,38,233.9,0,1.5,1017.6,1.4,5.4,1.5,7:47,12:39:14,17:32,0 days 09:45:00,0 days 14:15:00,-5.345,-10.295,0.03,0.008,0.6,0.004,43.0,19.0,119.0
