month_group,avg (temperature)_group,max (temperature)_group,min (temperature)_group,avg (humidity)_group,max (humidity)_group,min (humidity)_group,power_group,avg(wind speed)_group,avg(local pressure)_group,avg(cloud cover)_group,avg(ground temperature)_group,avg(evaporation volume)_group,sun_rise_group,sun_set_group,sun_max_group,day_duration_group,night_duration_group,day_avg_temperature_app_group,night_avg_temperature_app_group,Nitrogen Dioxide Concentration (ppm)_group,Ozone Concentration (ppm)_group,Carbon Monoxide Concentration (ppm)_group,Sulfur Dioxide Concentration (ppm)_group,Particulate Matter (micrograms per cubic meter)_group,Fine Particulate Matter (micrograms per cubic meter)_group,AQI_group,label
1,3,4.0,2.0,7,9,4.0,17,6,70,3.0,13.0,9.0,47,105,152,116,173,3,2.0,4,3,3,2.0,3,2.0,8,0
1,3,3.0,2.0,2,4,,16,6,72,1.0,13.0,7.0,47,105,152,116,173,3,2.0,2,4,2,2.0,4,1.0,11,0
1,2,3.0,2.0,3,6,,18,4,69,1.0,12.0,7.0,47,105,152,116,173,3,2.0,3,4,2,2.0,5,2.0,11,0
1,3,4.0,2.0,4,8,2.0,23,4,69,4.0,12.0,8.0,47,105,152,116,173,3,2.0,6,2,3,2.0,5,2.0,11,0
1,2,3.0,2.0,5,10,,26,4,70,8.0,11.0,5.0,47,105,152,117,173,3,2.0,3,4,2,2.0,3,2.0,8,0
1,2,3.0,1.0,5,12,,28,5,53,12.0,10.0,6.0,47,105,152,117,172,3,2.0,4,3,2,2.0,3,2.0,8,0
1,1,2.0,,4,9,1.0,14,5,48,12.0,10.0,3.0,47,105,152,117,172,1,,1,4,1,2.0,5,1.0,11,0
1,1,1.0,,3,5,1.0,11,4,58,7.0,9.0,6.0,47,106,152,117,172,1,,2,4,2,3.0,3,1.0,7,0
1,1,2.0,,3,5,1.0,19,5,58,7.0,9.0,8.0,47,106,152,117,172,1,1.0,3,4,2,3.0,3,2.0,8,0
1,2,3.0,1.0,5,8,2.0,16,4,66,3.0,9.0,8.0,47,106,152,118,172,2,1.0,5,2,4,3.0,4,2.0,10,0
1,2,3.0,2.0,7,8,4.0,16,4,60,3.0,8.0,9.0,47,106,152,118,171,2,2.0,7,1,5,2.0,5,3.0,12,0
1,3,3.0,2.0,10,13,6.0,21,5,53,4.0,8.0,11.0,47,106,153,118,171,3,2.0,8,1,5,2.0,6,4.0,14,0
1,4,5.0,3.0,11,13,7.0,12,6,31,,8.0,2.0,47,106,153,118,171,4,3.0,7,2,5,3.0,11,4.0,16,0
1,4,5.0,3.0,4,8,,9,6,37,20.0,5.0,3.0,47,106,153,119,171,4,3.0,6,2,4,3.0,10,3.0,16,0
1,4,5.0,4.0,7,10,3.0,12,6,45,,5.0,2.0,47,106,153,119,170,5,4.0,6,2,4,3.0,7,4.0,15,0
1,3,3.0,2.0,6,10,2.0,12,6,59,6.0,5.0,6.0,47,106,153,119,170,3,2.0,2,4,3,2.0,6,4.0,14,0
1,2,3.0,1.0,5,11,,18,4,62,18.0,5.0,3.0,47,106,153,119,170,3,2.0,2,5,2,2.0,3,2.0,7,0
